=== TABLA DE DIRECCIONAMIENTO IP ===
Dispositivo       IP            Mascara          Gateway
SRV-LB            10.0.10.5     255.255.255.0    10.0.10.1
SRV-WEB-01        10.0.10.10    255.255.255.0    10.0.10.1
SRV-WEB-02        10.0.10.11    255.255.255.0    10.0.10.1
SRV-DB-01         10.0.20.10    255.255.255.0    10.0.20.1
SRV-DB-02         10.0.20.11    255.255.255.0    10.0.20.1
SRV-FILES-01      10.0.20.20    255.255.255.0    10.0.20.1
SRV-APP-01        10.0.30.10    255.255.255.0    10.0.30.1
PC-OP-01          10.0.30.101   255.255.255.0    10.0.30.1
SRV-SSH-NTP       10.0.40.10    255.255.255.0    10.0.40.1
PC-ADMIN          10.0.40.20    255.255.255.0    10.0.40.1
SRV-MONITOR       10.0.50.10    255.255.255.0    10.0.50.1
SRV-LOGS          10.0.50.11    255.255.255.0    10.0.50.1
